Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic
File,"AdminUserDetails.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,1,0,0,9,,9,8,2,8,,0,0,0,8,,62,10,47,27,11,5,,20,29,20,9,,1,,0,,,"0,11",9
Unknown Annotation,"AfterReturning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",
File,"ApiException.java",3,0,3,0,1,"0,00","0,00",0,0,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,32,7,21,9,6,4,,9,15,9,6,,1,,0,,,"0,19",5
Unknown Annotation,"Around",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",
Unknown Annotation,"Aspect",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",
File,"Asserts.java",3,0,3,0,1,"0,00","0,00",0,0,,,,,1,2,0,2,,2,0,0,2,,0,0,0,2,,17,3,10,5,2,4,,4,7,5,2,,1,,0,,,"0,40",2
File,"AuthGlobalFilter.java",18,0,16,3,4,"0,00","0,00",0,0,,,,,1,0,0,2,,2,2,6,2,,0,0,0,2,,88,12,67,45,20,10,,41,50,36,19,,6,,2,,,"0,15",7
Unknown Annotation,"Before",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",
File,"BindingResultAspect.java",11,0,11,0,3,"0,00","0,00",0,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,43,3,36,21,11,4,,16,24,17,9,,5,,4,,,"0,11",6
File,"BindingResultAspect.java",11,0,11,0,3,"0,00","0,00",0,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,43,3,36,21,11,4,,16,24,17,9,,5,,4,,,"0,11",6
File,"CacheException.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,12,2,7,6,0,3,,2,3,3,0,,0,,0,,,"0,43",0
File,"CancelOrderReceiver.java",5,0,5,0,1,"0,00","0,00",0,0,,,,,1,0,1,1,,1,1,1,1,,0,0,0,1,,26,2,20,16,3,4,,12,14,12,3,,1,,0,,,"0,20",1
File,"CancelOrderSender.java",9,0,8,2,1,"0,00","0,00",0,0,,,,,2,0,1,2,,2,2,1,2,,0,0,0,2,,35,3,26,16,8,6,,16,19,15,5,,1,,0,,,"0,23",2
File,"CartProduct.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,2,0,,0,0,0,0,,20,5,11,10,0,4,,8,9,9,0,,0,,0,,,"0,36",0
File,"CartPromotionItem.java",3,0,3,0,1,"0,00","0,00",0,0,,,,,1,0,0,10,,10,10,5,10,,0,0,0,10,,61,12,40,19,10,9,,18,29,19,10,,1,,0,,,"0,23",10
File,"CmsAdminApplication.java",3,0,3,0,1,"0,00","0,00",0,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,16,2,9,6,1,5,,4,6,5,1,,1,,0,,,"0,56",1
File,"CmsHelp.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,1,0,1,17,,17,17,8,17,,0,0,0,17,,99,19,80,32,32,0,,43,61,31,31,,1,,0,,,"0,00",17
File,"CmsHelpCategory.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,1,0,1,13,,13,13,6,13,,0,0,0,13,,82,16,66,28,26,0,,35,49,25,25,,1,,0,,,"0,00",13
File,"CmsHelpCategoryExample.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,4,0,0,108,,108,108,12,108,,0,0,11,97,,580,122,458,130,214,0,,223,340,130,213,,2,,1,,,"0,00",113
